Description and notes:,,,,,,,,
Session Start Time:,Wed Jun 5 12:52:08 2024,,,,,,,
Duration (seconds):,1292,,,,,,,
,[Note: All data except Raw IBI applies to the time offset.  Raw IBI is included for researchers.],,,,,,,
,,,,,,,,
,Low %,Medium %,High %,,,,,
,88,12,0,,,,,
Time Offset,HeartRate,Zone Score,Accum. Score,Coherence,Achievement,Artifact,EP,Raw IBI
0:00:00,80.9717,0,0,0,0,,0,700
0:00:00,80.9171,0,0,0,0,,0,743
0:00:00,80.8989,0,0,0.1,0.1,,0.07,877
0:00:01,79.1035,0,0,0.1,0.1,,0.07,969
0:00:01,77.3794,0,0,0.1,0.1,,0.07,991
0:00:02,74.2207,0,0,0.1,0.1,,0.07,962
0:00:02,70.8048,0,0,0.1,0.1,,0.07,920
0:00:03,67.2797,0,0,0.1,0.1,,0.07,863
0:00:03,64.8368,0,0,0.1,0.1,,0.07,792
0:00:04,63.118,0,0,0.1,0.1,,0.07,679
0:00:04,62.3441,0,0,0.1,0.1,,0.07,715
0:00:05,62.2794,0,0,0.1,0.1,,0.07,700
0:00:05,62.709,0,0,0,0.1,,0.03,906
0:00:06,63.7755,0,0,0,0.1,,0.03,969
0:00:06,65.5165,0,0,0,0.1,,0.03,977
0:00:06,67.6895,0,0,0,0.1,,0.03,984
0:00:07,70.7881,0,0,0,0.1,,0.03,962
0:00:07,73.2064,0,0,0,0.1,,0.03,948
0:00:08,75.8725,0,0,0,0.1,,0.03,906
0:00:08,78.2065,0,0,0,0.1,,0.03,814
0:00:09,80.4074,0,0,0,0.1,,0.03,665
0:00:09,79.1139,0,0,0,0.1,,0.03,651
0:00:10,77.7605,0,0,0.1,0.2,,0.1,700
0:00:10,74.664,0,0,0.1,0.2,,0.1,913
0:00:11,70.8717,0,0,0.1,0.2,,0.1,1054
0:00:11,66.9792,0,0,0.1,0.2,,0.1,1097
0:00:12,64.6831,0,0,0.1,0.2,,0.1,1097
0:00:12,63.065,0,0,0.1,0.2,,0.1,1033
0:00:13,62.1891,0,0,0.1,0.2,,0.1,998
0:00:13,61.8047,0,0,0.1,0.2,,0.1,984
0:00:13,61.7157,0,0,0.1,0.2,,0.1,977
0:00:14,61.8557,0,0,0.1,0.2,,0.1,969
0:00:14,62.1633,0,0,0.1,0.3,,0.11,955
0:00:15,62.8272,0,0,0.1,0.3,,0.11,892
0:00:15,63.5459,0,0,0.1,0.3,,0.11,863
0:00:16,64.9351,0,0,0.1,0.3,,0.11,885
0:00:16,67.7507,0,0,0.1,0.3,,0.11,955
0:00:17,70.0444,0,0,0.1,0.3,,0.11,1040
0:00:17,73.4754,0,0,0.1,0.3,,0.11,1076
0:00:18,77.8008,0,0,0.1,0.3,,0.11,1033
0:00:18,81.389,0,0,0.1,0.3,,0.11,1062
0:00:19,82.9187,0,0,0.2,0.5,,0.2,1047
0:00:19,82.9646,0,0,0.2,0.5,,0.2,1019
0:00:20,80.0854,0,0,0.2,0.5,,0.2,998
0:00:20,74.7757,0,0,0.2,0.5,,0.2,991
0:00:20,69.4123,0,0,0.2,0.5,,0.2,913
0:00:21,64.1574,0,0,0.2,0.5,,0.2,807
0:00:21,60.6673,0,0,0.2,0.5,,0.2,807
0:00:22,58.0159,0,0,0.2,0.5,,0.2,913
0:00:22,56.5398,0,0,0.2,0.5,,0.2,1026
0:00:23,55.9388,0,0,0.2,0.5,,0.2,1054
0:00:23,55.9806,0,0,0.3,0.8,,0.36,1012
0:00:24,56.5291,0,0,0.3,0.8,,0.36,991
0:00:24,57.3394,0,0,0.3,0.8,,0.36,948
0:00:25,58.3885,0,0,0.3,0.8,,0.36,913
0:00:25,59.2183,0,0,0.3,0.8,,0.36,870
0:00:26,59.976,0,0,0.3,0.8,,0.36,750
0:00:26,60.4839,0,0,0.3,0.8,,0.36,941
0:00:27,60.9261,0,0,0.3,0.8,,0.36,1097
0:00:27,61.2495,0,0,0.3,0.8,,0.36,1097
0:00:27,61.589,0,0,0.3,0.8,,0.36,1062
0:00:28,61.894,0,0,0.5,1.3,,0.65,1019
0:00:28,62.6043,0,0,0.5,1.3,,0.65,934
0:00:29,63.4786,0,0,0.5,1.3,,0.65,828
0:00:29,64.6552,0,0,0.5,1.3,,0.65,743
0:00:30,65.9196,0,0,0.5,1.3,,0.65,708
0:00:30,67.0991,0,0,0.5,1.3,,0.65,750
0:00:31,67.2194,0,0,0.5,1.3,,0.65,693
0:00:31,66.8003,0,0,0.5,1.3,,0.65,637
0:00:32,65.9196,0,0,0.5,1.3,,0.65,644
0:00:32,64.2536,0,0,0.5,1.3,,0.65,651
0:00:33,62.422,0,0,1.2,2.4,,2.16,679
0:00:33,60.7903,0,0,1.2,2.4,,2.16,700
0:00:34,59.2885,0,0,1.2,2.4,,2.16,679
0:00:34,58.117,0,0,1.2,2.4,,2.16,665
0:00:34,57.5816,0,0,1.2,2.4,,2.16,750
0:00:35,57.1973,0,0,1.2,2.4,,2.16,722
0:00:35,57.0885,0,0,1.2,2.4,,2.16,722
0:00:36,57.1973,0,0,1.2,2.4,,2.16,630
0:00:36,57.1755,0,0,1.2,2.4,,2.16,665
0:00:37,57.241,0,0,1.2,2.4,,2.16,580
0:00:37,57.5153,1,1,2.1,4.5,,6.86,545
0:00:38,58.0046,1,1,2.1,4.5,,6.86,559
0:00:38,58.5252,1,1,2.1,4.5,,6.86,538
0:00:39,59.1133,1,1,2.1,4.5,,6.86,545
0:00:39,59.5829,1,1,2.1,4.5,,6.86,587
0:00:40,60.4595,1,1,2.1,4.5,,6.86,785
0:00:40,61.4376,1,1,2.1,4.5,,6.86,531
0:00:40,63.1845,1,1,2.1,4.5,,6.86,658
0:00:41,64.3363,1,1,2.1,4.5,,6.86,700
0:00:41,65.2884,1,1,2.1,4.5,,6.86,651
0:00:42,65.5738,0,0,1.7,6.2,,4.38,665
0:00:42,66.4894,0,0,1.7,6.2,,4.38,715
0:00:43,66.9643,0,0,1.7,6.2,,4.38,743
0:00:43,67.5371,0,0,1.7,6.2,,4.38,722
0:00:44,68.0272,0,0,1.7,6.2,,4.38,750
0:00:44,67.6133,0,0,1.7,6.2,,4.38,771
0:00:45,65.7895,0,0,1.7,6.2,,4.38,736
0:00:45,63.2244,0,0,1.7,6.2,,4.38,665
0:00:46,61.1247,0,0,1.7,6.2,,4.38,715
0:00:46,59.5356,0,0,1.7,6.2,,4.38,757
0:00:47,58.8582,1,1,1.8,8,,5.16,665
0:00:47,58.7314,1,1,1.8,8,,5.16,644
0:00:47,59.0319,1,1,1.8,8,,5.16,686
0:00:48,59.8086,1,1,1.8,8,,5.16,651
0:00:48,60.5938,1,1,1.8,8,,5.16,644
0:00:49,61.6143,1,1,1.8,8,,5.16,587
0:00:49,62.6436,1,1,1.8,8,,5.16,637
0:00:50,63.9795,1,1,1.8,8,,5.16,651
0:00:50,66.0793,1,1,1.8,8,,5.16,608
0:00:51,67.446,1,1,1.8,8,,5.16,630
