Description and notes:,,,,,,,,
Session Start Time:,Thu Jun 6 11:47:57 2024,,,,,,,
Duration (seconds):,1533,,,,,,,
,[Note: All data except Raw IBI applies to the time offset.  Raw IBI is included for researchers.],,,,,,,
,,,,,,,,
,Low %,Medium %,High %,,,,,
,96,4,0,,,,,
Time Offset,HeartRate,Zone Score,Accum. Score,Coherence,Achievement,Artifact,EP,Raw IBI
0:00:00,80.8625,0,0,0,0,,0,700
0:00:00,78.2269,0,0,0,0,,0,842
0:00:00,76.5632,0,0,0.1,0.1,,0.08,743
0:00:00,76.6528,0,0,0.1,0.1,,0.08,906
0:00:01,77.0812,0,0,0.1,0.1,,0.08,736
0:00:01,75.3201,0,0,0.1,0.1,,0.08,800
0:00:01,75.4717,0,0,0.1,0.1,,0.08,835
0:00:02,76.5697,0,0,0.1,0.1,,0.08,807
0:00:02,77.2002,0,0,0.1,0.1,,0.08,715
0:00:02,77.5795,0,0,0.1,0.1,,0.08,892
0:00:03,78.7815,0,0,0.1,0.1,,0.08,835
0:00:03,78.6576,0,0,0.1,0.1,,0.08,715
0:00:03,77.3196,0,0,0.2,0.2,,0.18,771
0:00:04,76.0456,0,0,0.2,0.2,,0.18,729
0:00:04,74.8316,0,0,0.2,0.2,,0.18,771
0:00:04,73.9827,0,0,0.2,0.2,,0.18,785
0:00:05,73.3138,0,0,0.2,0.2,,0.18,835
0:00:05,73.2064,0,0,0.2,0.2,,0.18,778
0:00:05,72.8155,0,0,0.2,0.2,,0.18,700
0:00:06,72.5514,0,0,0.2,0.2,,0.18,1047
0:00:06,73.4754,0,0,0.2,0.2,,0.18,792
0:00:06,75.0563,0,0,0.2,0.2,,0.18,729
0:00:07,75.358,0,0,0.1,0.4,,0.15,856
0:00:07,75.4717,0,0,0.1,0.4,,0.15,814
0:00:07,75.188,0,0,0.1,0.4,,0.15,792
0:00:08,73.9463,0,0,0.1,0.4,,0.15,1139
0:00:08,73.3317,0,0,0.1,0.4,,0.15,722
0:00:08,74.6269,0,0,0.1,0.4,,0.15,1104
0:00:09,75.6811,0,0,0.1,0.4,,0.15,1132
0:00:09,76.6284,0,0,0.1,0.4,,0.15,814
0:00:09,77.7403,0,0,0.1,0.4,,0.15,679
0:00:10,77.7403,0,0,0.1,0.4,,0.15,800
0:00:10,76.746,0,0,0.1,0.4,,0.06,764
0:00:10,76.1228,0,0,0.1,0.4,,0.06,665
0:00:11,76.5111,0,0,0.1,0.4,,0.06,821
0:00:11,76.7067,0,0,0.1,0.4,,0.06,644
0:00:11,76.3942,0,0,0.1,0.4,,0.06,792
0:00:12,76.2583,0,0,0.1,0.4,,0.06,630
0:00:12,76.4916,0,0,0.1,0.4,,0.06,814
0:00:12,76.0649,0,0,0.1,0.4,,0.06,792
0:00:13,75.7193,0,0,0.1,0.4,,0.06,708
0:00:13,75.7576,0,0,0.1,0.4,,0.06,835
0:00:13,75.5668,0,0,0.1,0.6,,0.12,771
0:00:14,75,0,0,0.1,0.6,,0.12,736
0:00:14,74.2574,0,0,0.1,0.6,,0.12,785
0:00:14,73.5114,0,0,0.1,0.6,,0.12,736
0:00:15,72.8155,0,0,0.1,0.6,,0.12,1019
0:00:15,72.9749,0,0,0.1,0.6,,0.12,608
0:00:15,73.5655,0,0,0.1,0.6,,0.12,757
0:00:15,73.692,0,0,0.1,0.6,,0.12,899
0:00:16,73.5114,0,0,0.1,0.6,,0.12,644
0:00:16,73.1886,0,0,0.1,0.6,,0.12,715
0:00:16,72.1674,0,0,0.1,0.7,,0.11,693
0:00:17,70.6215,0,0,0.1,0.7,,0.11,708
0:00:17,71.1575,0,0,0.1,0.7,,0.11,856
0:00:17,72.7626,0,0,0.1,0.7,,0.11,885
0:00:18,71.8907,0,0,0.1,0.7,,0.11,856
0:00:18,70.0444,0,0,0.1,0.7,,0.11,821
0:00:18,70.0444,0,0,0.1,0.7,,0.11,821
0:00:19,69.3001,0,0,0.1,0.7,,0.11,715
0:00:19,68.7128,0,0,0.1,0.7,,0.11,828
0:00:19,71.0059,0,0,0.1,0.7,,0.11,814
0:00:20,73.9645,0,0,0.1,0.8,,0.11,644
0:00:20,75,0,0,0.1,0.8,,0.11,771
0:00:20,74.9251,0,0,0.1,0.8,,0.11,778
0:00:21,73.7101,0,0,0.1,0.8,,0.11,665
0:00:21,72.3589,0,0,0.1,0.8,,0.11,679
0:00:21,72.2022,0,0,0.1,0.8,,0.11,785
0:00:22,72.6216,0,0,0.1,0.8,,0.11,934
0:00:22,73.4035,0,0,0.1,0.8,,0.11,693
0:00:22,71.3267,0,0,0.1,0.8,,0.11,998
0:00:23,71.1069,0,0,0.1,0.8,,0.11,743
0:00:23,70.3235,0,0,0.1,0.9,,0.13,941
0:00:23,69.2841,0,0,0.1,0.9,,0.13,708
0:00:24,68.1508,0,0,0.1,0.9,,0.13,679
0:00:24,67.858,0,0,0.1,0.9,,0.13,892
0:00:24,66.4746,0,0,0.1,0.9,,0.13,708
0:00:25,65.703,0,0,0.1,0.9,,0.13,913
0:00:25,65.3595,0,0,0.1,0.9,,0.13,630
0:00:25,65.2174,0,0,0.1,0.9,,0.13,693
0:00:26,64.9491,0,0,0.1,0.9,,0.13,984
0:00:26,63.1446,0,0,0.1,0.9,,0.13,729
0:00:26,62.7484,0,0,0.1,1,,0.13,587
0:00:27,63.8026,0,0,0.1,1,,0.13,948
0:00:27,65.6743,0,0,0.1,1,,0.13,785
0:00:27,69.2042,0,0,0.1,1,,0.13,750
0:00:28,73.4394,0,0,0.1,1,,0.13,870
0:00:28,76.2389,0,0,0.1,1,,0.13,991
0:00:28,76.8836,0,0,0.1,1,,0.13,672
0:00:29,77.3395,0,0,0.1,1,,0.13,998
0:00:29,78.9474,0,0,0.1,1,,0.13,835
0:00:29,80.4074,0,0,0.1,1,,0.13,863
0:00:30,80.7103,0,0,0.1,1.2,,0.16,998
0:00:30,80.2354,0,0,0.1,1.2,,0.16,651
0:00:30,78.3085,0,0,0.1,1.2,,0.16,984
0:00:31,77.5996,0,0,0.1,1.2,,0.16,1083
0:00:31,78.8851,0,0,0.1,1.2,,0.16,913
0:00:31,79.7024,0,0,0.1,1.2,,0.16,722
0:00:31,80.4505,0,0,0.1,1.2,,0.16,1019
0:00:32,81.2128,0,0,0.1,1.2,,0.16,969
0:00:32,81.7439,0,0,0.1,1.2,,0.16,984
0:00:32,82.1693,0,0,0.1,1.2,,0.16,729
0:00:33,84.246,0,0,0.3,1.4,,0.3,651
0:00:33,85.3971,0,0,0.3,1.4,,0.3,962
0:00:33,85.7143,0,0,0.3,1.4,,0.3,686
0:00:34,83.7755,0,0,0.3,1.4,,0.3,863
0:00:34,80.8843,0,0,0.3,1.4,,0.3,651
0:00:34,77.7001,0,0,0.3,1.4,,0.3,700
0:00:35,76.1421,0,0,0.3,1.4,,0.3,594
0:00:35,75.6048,0,0,0.3,1.4,,0.3,984
0:00:35,75.4717,0,0,0.3,1.4,,0.3,764
