Description and notes:,,,,,,,,
Session Start Time:,Thu Jun 6 13:18:58 2024,,,,,,,
Duration (seconds):,2133,,,,,,,
,[Note: All data except Raw IBI applies to the time offset.  Raw IBI is included for researchers.],,,,,,,
,,,,,,,,
,Low %,Medium %,High %,,,,,
,24,26,50,,,,,
Time Offset,HeartRate,Zone Score,Accum. Score,Coherence,Achievement,Artifact,EP,Raw IBI
0:00:00,63.358,0,0,0,0,,0,828
0:00:00,63.8298,0,0,0,0,,0,863
0:00:01,66.2252,0,0,0,0,,0,856
0:00:02,68.4151,0,0,0,0,,0,835
0:00:02,69.6702,0,0,0,0,,0,757
0:00:03,72.2892,0,0,0,0,,0,679
0:00:04,74.9064,0,0,0,0,,0,686
0:00:04,75.4717,0,0,0,0,,0,807
0:00:05,74.9438,0,0,0,0,,0,969
0:00:06,74.1656,0,0,0,0,,0,1012
0:00:06,73.1351,0,0,0,0,,0,998
0:00:07,72.0115,0,0,0,0,,0,927
0:00:08,71.4116,0,0,0,0,,0,814
0:00:08,71.0564,0,0,0,0,,0,722
0:00:09,71.7703,0,0,0,0,,0,665
0:00:10,73.7101,0,0,0,0,,0,750
0:00:10,76.3359,0,0,0,0,,0,877
0:00:11,79.2393,0,0,0,0,,0,877
0:00:12,81.0811,0,0,0,0,,0,991
0:00:12,81.4775,0,0,0,0,,0,792
0:00:13,78.5752,0,0,0,0,,0,807
0:00:14,74.4971,0,0,0,0,,0,750
0:00:14,69.8649,0,0,0,0,,0,665
0:00:15,66.2252,0,0,0,0,,0,644
0:00:16,63.2511,0,0,0,0,,0,722
0:00:16,61.6776,0,0,0,0,,0,771
0:00:17,61.1746,0,0,0,0,,0,892
0:00:18,62.1762,0,0,0,0,,0,948
0:00:18,64.0205,0,0,0,0,,0,955
0:00:19,66.9792,0,0,0,0,,0,913
0:00:20,71.2758,0,0,0,0,,0,842
0:00:20,76.0842,0,0,0,0,,0,743
0:00:21,79.4071,0,0,0,0,,0,693
0:00:22,81.8777,0,0,0,0,,0,608
0:00:22,81.4332,0,0,0,0,,0,672
0:00:23,78.9474,0,0,0,0,,0,580
0:00:24,75.6811,0,0,0,0,,0,594
0:00:24,71.9942,0,0,0,0,,0,722
0:00:25,68.3527,0,0,0,0,,0,800
0:00:26,67.2948,0,0,0,0,,0,771
0:00:27,67.4157,0,0,0,0,,0,722
0:00:27,68.0118,0,0,0,0,,0,870
0:00:28,70.2412,0,0,0,0,,0,962
0:00:29,74.2942,0,0,0,0,,0,892
0:00:29,77.7605,0,0,0,0,,0,842
0:00:30,81.2128,0,0,0,0,,0,828
0:00:31,84.0572,0,0,0,0,,0,835
0:00:31,85.9107,0,0,0,0,,0,814
0:00:32,85.5676,0,0,0,0,,0,807
0:00:33,82.7358,0,0,0,0,,0,842
0:00:33,78.7402,0,0,0,0,,0,750
0:00:34,74.7198,0,0,0,0,,0,821
0:00:35,70.9052,0,0,0,0,,0,679
0:00:35,67.7048,0,0,0,0,,0,722
0:00:36,65.7462,0,0,0,0,,0,708
0:00:37,64.6552,0,0,0,0,,0,807
0:00:37,64.3639,0,0,0,0,,0,906
0:00:38,64.9632,0,0,0,0,,0,920
0:00:39,66.8003,0,0,0,0,,0,955
0:00:39,69.4284,0,0,0,0,,0,969
0:00:40,72.7096,0,0,0,0,,0,934
0:00:41,77.3994,0,0,0,0,,0,870
0:00:41,81.8331,0,0,0,0,,0,821
0:00:42,85.1064,0,0,0,0,,0,764
0:00:43,88.9416,0,0,0,0,,0,764
0:00:43,92.393,0,0,0,0,,0,757
0:00:44,92.564,0,0,0,0,,0,708
0:00:45,91.9399,0,0,0,0,,0,722
0:00:45,89.8742,0,0,0,0,,0,807
0:00:46,86.4304,0,0,0,0,,0,842
0:00:47,82.7358,0,0,0,0,,0,778
0:00:47,80.9935,0,0,0,0,,0,842
0:00:48,80.1496,0,0,0,0,,0,821
0:00:49,78.9889,0,0,0,0,,0,821
0:00:49,77.4194,0,0,0,0,,0,679
0:00:50,74.8316,0,0,0,0,,0,757
0:00:51,72.0981,0,0,0,0,,0,771
0:00:52,69.4123,0,0,0,0,,0,658
0:00:52,68.3683,0,0,0,0,,0,665
0:00:53,68.0735,0,0,0,0,,0,743
0:00:54,68.9655,0,0,0,0,,0,906
0:00:54,69.8812,0,0,0,0,,0,892
0:00:55,70.8215,0,0,0,0,,0,870
0:00:56,71.5308,0,0,0,0,,0,785
0:00:56,72.1327,0,0,0,0,,0,807
0:00:57,72.6216,0,0,0,0,,0,757
0:00:58,72.8155,0,0,0,0,,0,693
0:00:58,72.8509,0,0,0,0,,0,757
0:00:59,73.4394,0,0,0,0,,0,920
0:01:00,74.3126,0,0,0,0,,0,665
0:01:00,74.6269,0,0,0,0,,0,757
0:01:01,75.1503,0,0,0,0,,0,729
0:01:02,76.9823,0,0,0,0,,0,750
0:01:02,78.6576,0,0,0,0,,0,686
0:01:03,79.8297,0,0,0,0,,0,700
0:01:04,81.0154,0,0,0,0,,0,708
0:01:04,82.6902,0,0,0,0,,0,708
0:01:05,83.2178,0,0,0,0,,0,814
0:01:06,82.0345,0,0,0,0,,0,892
0:01:06,80.5153,0,0,0,0,,0,750
0:01:07,78.329,0,0,0,0,,0,785
0:01:08,75.2257,0,0,0,0,,0,778
0:01:08,71.8907,0,0,0,0,,0,771
0:01:09,69.1244,0,0,0,0,,0,764
0:01:10,66.7111,0,0,0,0,,0,785
0:01:10,65.1183,0,0,0,0,,0,608
0:01:11,64.0068,0,0,0,0,,0,934
0:01:12,63.3714,0,0,0,0,,0,743
0:01:12,63.1978,0,0,0,0,,0,608
0:01:13,63.6807,0,0,0,0,,0,658
0:01:14,64.6134,0,0,0,0,,0,715
0:01:14,66.1521,0,0,0,0,,0,736
0:01:15,68.2439,0,0,0,0,,0,757
0:01:16,70.738,0,0,0,0,,0,637
0:01:17,72.9749,0,0,0,0,,0,750
0:01:17,75.188,0,0,0,0,,0,594
0:01:18,76.9823,0,0,0,0,,0,658
0:01:19,78.4929,0,0,0,0,,0,693
0:01:19,79.7024,0,0,0,0,,0,623
0:01:20,80.7754,0,0,0,0,,0,658
0:01:21,80.7754,0,0,0,0,,0,679
0:01:21,79.8509,0,0,0,0,,0,743
0:01:22,78.0031,0,0,0,0,,0,814
0:01:23,76.5697,0,0,0,0,,0,835
0:01:23,75.339,0,0,0,0,,0,686
0:01:24,74.4232,0,0,0,0,,0,757
0:01:25,74.1656,0,0,0,0,,0,736
0:01:25,74.239,0,0,0,0,,0,757
0:01:26,73.8734,0,0,0,0,,0,757
0:01:27,74.6083,0,0,0,0,,0,764
0:01:27,76.5306,0,0,0,0,,0,708
0:01:28,78.1861,0,0,0,0,,0,651
0:01:29,79.5545,0,0,0,0,,0,708
0:01:29,80.7972,0,0,0,0,,0,729
0:01:30,81.6549,0,0,0,0,,0,729
0:01:31,82.2594,0,0,0,0,,0,594
0:01:31,83.612,0,0,0,0,,0,672
