game,round,start round,hit,duration round,participant,accelarator press,accelarator first signal,start heartrate in video,start heartrate in actual time,"hit, correct","hit, incorrect","other hit, correct","other hit, incorrect",confidence score,experience score,games played prior on current day,favorite fruit,accelarator device,start video
4,1,00:02:25:16,00:02:33:25,00:00:08:09,Paula,00:00:16:14,00:00:16:18,0:00:54,13:18:58,,,1,,3,8,1,strawberry,band,13:18:04
4,2,00:02:47:03,00:02:52:07,00:00:05:04,Paula,00:00:16:14,00:00:16:18,0:00:54,13:18:58,1,,,,3,8,1,strawberry,band,13:18:04
4,3,00:03:04:20,00:03:22:19,00:00:17:29,Paula,00:00:16:14,00:00:16:18,0:00:54,13:18:58,,,1,,3,8,1,strawberry,band,13:18:04
4,4,00:03:36:19,00:03:46:24,00:00:10:05,Paula,00:00:16:14,00:00:16:18,0:00:54,13:18:58,1,,,,3,8,1,strawberry,band,13:18:04
4,5,00:03:57:25,00:04:07:07,00:00:09:12,Paula,00:00:16:14,00:00:16:18,0:00:54,13:18:58,,,1,,3,8,1,strawberry,band,13:18:04
4,6,00:04:18:08,00:04:38:27,00:00:20:19,Paula,00:00:16:14,00:00:16:18,0:00:54,13:18:58,,,,1,3,8,1,strawberry,band,13:18:04
4,7,00:04:49:26,00:04:51:20,00:00:01:24,Paula,00:00:16:14,00:00:16:18,0:00:54,13:18:58,1,,,,3,8,1,strawberry,band,13:18:04
4,8,00:05:01:08,00:05:07:21,00:00:06:13,Paula,00:00:16:14,00:00:16:18,0:00:54,13:18:58,,,1,,3,8,1,strawberry,band,13:18:04
4,9,00:05:20:14,00:05:31:12,00:00:10:28,Paula,00:00:16:14,00:00:16:18,0:00:54,13:18:58,,,,1,3,8,1,strawberry,band,13:18:04
4,10,00:05:36:17,00:05:37:00,00:00:00:13,Paula,00:00:16:14,00:00:16:18,0:00:54,13:18:58,,1,,,3,8,1,strawberry,band,13:18:04
4,11,00:05:59:21,00:06:00:08,00:00:00:17,Paula,00:00:16:14,00:00:16:18,0:00:54,13:18:58,,,1,,3,8,1,strawberry,band,13:18:04
4,12,00:06:13:21,00:06:22:15,00:00:08:24,Paula,00:00:16:14,00:00:16:18,0:00:54,13:18:58,,,1,,3,8,1,strawberry,band,13:18:04
4,13,00:06:34:09,00:06:47:11,00:00:13:02,Paula,00:00:16:14,00:00:16:18,0:00:54,13:18:58,,,,1,3,8,1,strawberry,band,13:18:04
4,14,00:06:55:07,00:07:00:04,00:00:04:27,Paula,00:00:16:14,00:00:16:18,0:00:54,13:18:58,1,,,,3,8,1,strawberry,band,13:18:04
4,15,00:07:08:11,00:07:11:25,00:00:03:14,Paula,00:00:16:14,00:00:16:18,0:00:54,13:18:58,,,1,,3,8,1,strawberry,band,13:18:04
4,16,00:07:21:00,00:07:53:14,00:00:32:14,Paula,00:00:16:14,00:00:16:18,0:00:54,13:18:58,,,1,,3,8,1,strawberry,band,13:18:04
4,17,00:08:04:26,00:08:10:13,00:00:05:17,Paula,00:00:16:14,00:00:16:18,0:00:54,13:18:58,,,1,,3,8,1,strawberry,band,13:18:04
4,18,00:08:19:05,00:08:28:07,00:00:09:02,Paula,00:00:16:14,00:00:16:18,0:00:54,13:18:58,,,1,,2,8,1,strawberry,band,13:18:04
4,19,00:08:40:03,00:08:49:00,00:00:08:27,Paula,00:00:16:14,00:00:16:18,0:00:54,13:18:58,1,,,,3,8,1,strawberry,band,13:18:04
4,20,00:10:15:24,00:10:42:04,00:00:26:10,Paula,00:00:16:14,00:00:16:18,0:00:54,13:18:58,,1,,,3,8,1,strawberry,band,13:18:04
4,21,00:10:49:11,00:10:56:27,00:00:07:16,Paula,00:00:16:14,00:00:16:18,0:00:54,13:18:58,1,,,,3,8,1,strawberry,band,13:18:04
