Description and notes:,,,,,,,,
Session Start Time:,Wed Jun 12 11:57:43 2024,,,,,,,
Duration (seconds):,2713,,,,,,,
,[Note: All data except Raw IBI applies to the time offset.  Raw IBI is included for researchers.],,,,,,,
,,,,,,,,
,Low %,Medium %,High %,,,,,
,58,28,14,,,,,
Time Offset,HeartRate,Zone Score,Accum. Score,Coherence,Achievement,Artifact,EP,Raw IBI
0:00:00,75.8534,0,0,0,0,,0,800
0:00:00,75.3296,0,0,0,0,,0,736
0:00:01,74.9688,0,0,0,0,,0,863
0:00:01,74.7198,0,0,0,0,,0,821
0:00:02,74.5527,0,0,0,0,,0,736
0:00:02,74.3494,0,0,0,0,,0,729
0:00:03,74.4417,0,0,0,0,,0,729
0:00:03,74.6269,0,0,0,0,,0,651
0:00:04,74.8503,0,0,0,0,,0,651
0:00:04,75.7002,0,0,0,0,,0,623
0:00:05,76.6871,0,0,0,0,,0,630
0:00:05,76.4916,0,0,0,0,,0,743
0:00:06,76.1808,0,0,0,0,,0,856
0:00:06,75.8342,0,0,0,0,,0,863
0:00:07,75.662,0,0,0,0,,0,1012
0:00:07,75.643,0,0,0,0,,0,708
0:00:08,76.9428,0,0,0,0,,0,920
0:00:08,78.5546,0,0,0,0,,0,615
0:00:09,81.2128,0,0,0,0,,0,899
0:00:09,83.5887,0,0,0,0,,0,729
0:00:10,85.7633,0,0,0,0,,0,771
0:00:10,88.2353,0,0,0,0,,0,708
0:00:11,90.854,0,0,0,0,,0,644
0:00:11,90.9366,0,0,0,0,,0,608
0:00:12,89.7129,0,0,0,0,,0,736
0:00:12,86.4803,0,0,0,0,,0,630
0:00:13,82.2368,0,0,0,0,,0,700
0:00:13,77.8412,0,0,0,0,,0,814
0:00:14,74.6826,0,0,0,0,,0,885
0:00:14,73.1529,0,0,0,0,,0,892
0:00:15,73.3676,0,0,0,0,,0,877
0:00:15,72.0981,0,0,0,0,,0,877
0:00:16,72.8332,0,0,0,0,,0,835
0:00:16,74.6083,0,0,0,0,,0,792
0:00:17,73.928,0,0,0,0,,0,785
0:00:17,72.0807,0,0,0,0,,0,743
0:00:18,74.7198,0,0,0,0,,0,750
0:00:18,75.4527,0,0,0,0,,0,835
0:00:19,74.0375,0,0,0,0,,0,715
0:00:19,73.5474,0,0,0,0,,0,778
0:00:20,75.0563,0,0,0,0,,0,807
0:00:20,74.757,0,0,0,0,,0,693
0:00:21,74.6454,0,0,0,0,,0,828
0:00:21,75.7959,0,0,0,0,,0,849
0:00:22,77.6398,0,0,0,0,,0,807
0:00:22,78.8022,0,0,0,0,,0,792
0:00:23,79.6178,0,0,0,0,,0,764
0:00:23,81.4332,0,0,0,0,,0,750
0:00:24,84.2697,0,0,0,0,,0,757
0:00:24,86.2069,0,0,0,0,,0,594
0:00:25,86.8558,0,0,0,0,,0,715
0:00:25,88.1834,0,0,0,0,,0,708
0:00:26,88.1316,0,0,0,0,,0,658
0:00:26,86.9313,0,0,0,0,,0,771
0:00:27,85.3728,0,0,0,0,,0,729
0:00:27,83.7054,0,0,0,0,,0,729
0:00:28,80.0641,0,0,0,0,,0,615
0:00:28,76.4331,0,0,0,0,,0,665
0:00:29,72.9927,0,0,0,0,,0,587
0:00:29,70.855,0,0,0,0,,0,708
0:00:30,69.3161,0,0,0,0,,0,750
0:00:30,68.6342,0,0,0,0,,0,658
0:00:31,68.4151,0,0,0,0,,0,764
0:00:31,68.7443,0,0,0,0,,0,665
0:00:32,69.5894,0,0,0,0,,0,665
0:00:32,70.7214,0,0,0,0,,0,658
0:00:33,72.0981,0,0,0,0,,0,693
0:00:33,74.0192,0,0,0,0,,0,594
0:00:34,75.8917,0,0,0,0,,0,559
0:00:34,77.2798,0,0,0,0,,0,623
0:00:35,77.5595,0,0,0,0,,0,601
0:00:35,77.2002,0,0,0,0,,0,538
0:00:36,76.5501,0,0,0,0,,0,601
0:00:36,76.5111,0,0,0,0,,0,693
0:00:37,76.8443,0,0,0,0,,0,778
0:00:37,77.5795,0,0,0,0,,0,531
0:00:38,78.637,1,1,0.5,0.5,,0.66,743
0:00:38,79.0097,1,1,0.5,0.5,,0.66,708
0:00:39,78.2473,1,1,0.5,0.5,,0.66,792
0:00:39,78.0843,1,1,0.5,0.5,,0.66,587
0:00:40,77.4994,1,1,0.5,0.5,,0.66,644
0:00:40,76.6088,1,1,0.5,0.5,,0.66,708
0:00:41,75.7576,1,1,0.5,0.5,,0.66,750
0:00:41,74.9438,1,1,0.5,0.5,,0.66,807
0:00:42,73.5114,1,1,0.5,0.5,,0.66,792
0:00:42,73.1351,1,1,0.5,0.5,,0.66,757
0:00:43,73.278,1,2,0.5,1,,0.71,764
0:00:43,74.129,1,2,0.5,1,,0.71,729
0:00:44,75.4907,1,2,0.5,1,,0.71,722
0:00:44,76.746,1,2,0.5,1,,0.71,679
0:00:45,77.7403,1,2,0.5,1,,0.71,729
0:00:45,80.3213,1,2,0.5,1,,0.71,807
0:00:46,83.612,1,2,0.5,1,,0.71,736
0:00:46,85.7878,1,2,0.5,1,,0.71,693
0:00:47,87.4381,1,2,0.5,1,,0.71,623
0:00:47,89.6057,1,2,0.5,1,,0.71,941
0:00:48,89.8473,2,3,1.7,2.7,,4.45,821
0:00:48,87.6424,2,3,1.7,2.7,,4.45,651
0:00:49,86.4055,2,3,1.7,2.7,,4.45,743
0:00:49,85.5432,2,3,1.7,2.7,,4.45,601
0:00:50,84.2697,2,3,1.7,2.7,,4.45,630
0:00:50,84.1515,2,3,1.7,2.7,,4.45,736
0:00:51,85.3485,2,3,1.7,2.7,,4.45,665
0:00:51,86.7553,2,3,1.7,2.7,,4.45,644
0:00:52,89.3389,2,3,1.7,2.7,,4.45,715
0:00:52,90.9642,2,3,1.7,2.7,,4.45,552
0:00:53,90.525,2,5,2.1,4.9,,7.5,693
0:00:53,89.1795,2,5,2.1,4.9,,7.5,708
0:00:54,87.4126,2,5,2.1,4.9,,7.5,573
0:00:54,85.1547,2,5,2.1,4.9,,7.5,630
0:00:55,84.1515,2,5,2.1,4.9,,7.5,608
0:00:55,83.7287,2,5,2.1,4.9,,7.5,708
0:00:56,83.5655,2,5,2.1,4.9,,7.5,545
0:00:56,83.3102,2,5,2.1,4.9,,7.5,693
0:00:57,82.4402,2,5,2.1,4.9,,7.5,509
0:00:57,81.4775,2,5,2.1,4.9,,7.5,545
0:00:58,81.4775,2,7,2.1,6.9,,6.93,538
0:00:58,82.4629,2,7,2.1,6.9,,6.93,601
0:00:59,82.9876,2,7,2.1,6.9,,6.93,665
0:00:59,84.4357,2,7,2.1,6.9,,6.93,700
0:01:00,86.2069,2,7,2.1,6.9,,6.93,693
0:01:00,86.1574,2,7,2.1,6.9,,6.93,821
0:01:01,85.1789,2,7,2.1,6.9,,6.93,587
0:01:01,85.034,2,7,2.1,6.9,,6.93,807
0:01:02,84.317,2,7,2.1,6.9,,6.93,785
0:01:02,84.0572,2,7,2.1,6.9,,6.93,630
