game,round,start round,hit,duration round,participant,accelarator press,accelarator first signal,start heartrate in video,start heartrate in actual time,"hit, correct","hit, incorrect","other hit, correct","other hit, incorrect",confidence score,experience score,games played prior on current day,favorite fruit,accelarator device,start video
1,1,00:02:21:23,00:02:29:28,00:00:08:05,Paula,00:00:05:22,00:00:06:04,0:00:47,12:52:08,1,,,,4,8,0,strawberry,elastics,12:51:21
1,2,00:03:16:28,00:03:40:08,00:00:23:10,Paula,00:00:05:22,00:00:06:04,0:00:47,12:52:08,,,1,,4,8,0,strawberry,elastics,12:51:21
1,3,00:05:57:21,00:05:58:28,00:00:01:07,Paula,00:00:05:22,00:00:06:04,0:00:47,12:52:08,,,1,,3,8,0,strawberry,elastics,12:51:21
1,4,00:06:55:13,00:06:59:26,00:00:04:13,Paula,00:00:05:22,00:00:06:04,0:00:47,12:52:08,,,1,,2,8,0,strawberry,elastics,12:51:21
1,5,00:07:25:26,00:07:32:14,00:00:06:18,Paula,00:00:05:22,00:00:06:04,0:00:47,12:52:08,1,,,,3,8,0,strawberry,elastics,12:51:21
1,6,00:08:00:02,00:08:03:01,00:00:02:29,Paula,00:00:05:22,00:00:06:04,0:00:47,12:52:08,,,,1,3,8,0,strawberry,elastics,12:51:21
1,7,00:08:39:14,00:08:56:20,00:00:17:06,Paula,00:00:05:22,00:00:06:04,0:00:47,12:52:08,,,1,,2,8,0,strawberry,elastics,12:51:21
1,8,00:09:32:25,00:09:38:16,00:00:05:21,Paula,00:00:05:22,00:00:06:04,0:00:47,12:52:08,,,1,,2,8,0,strawberry,elastics,12:51:21
1,9,00:10:07:01,00:10:08:07,00:00:01:06,Paula,00:00:05:22,00:00:06:04,0:00:47,12:52:08,1,,,,3,8,0,strawberry,elastics,12:51:21
1,10,00:10:49:25,00:10:53:27,00:00:04:02,Paula,00:00:05:22,00:00:06:04,0:00:47,12:52:08,,,1,,2,8,0,strawberry,elastics,12:51:21
1,11,00:11:12:29,00:11:20:19,00:00:07:20,Paula,00:00:05:22,00:00:06:04,0:00:47,12:52:08,1,,,,3,8,0,strawberry,elastics,12:51:21
1,12,00:11:48:18,00:11:58:05,00:00:09:17,Paula,00:00:05:22,00:00:06:04,0:00:47,12:52:08,1,,,,3,8,0,strawberry,elastics,12:51:21
1,13,00:12:21:02,00:12:39:04,00:00:18:02,Paula,00:00:05:22,00:00:06:04,0:00:47,12:52:08,1,,,,4,8,0,strawberry,elastics,12:51:21
1,14,00:14:04:21,00:14:11:22,00:00:07:01,Paula,00:00:05:22,00:00:06:04,0:00:47,12:52:08,,,1,,3,8,0,strawberry,elastics,12:51:21
1,15,00:14:34:29,00:14:35:26,00:00:00:27,Paula,00:00:05:22,00:00:06:04,0:00:47,12:52:08,,,1,,3,8,0,strawberry,elastics,12:51:21
1,16,00:15:04:06,00:15:20:11,00:00:16:05,Paula,00:00:05:22,00:00:06:04,0:00:47,12:52:08,,,,1,3,8,0,strawberry,elastics,12:51:21
1,17,00:15:49:13,00:15:53:26,00:00:04:13,Paula,00:00:05:22,00:00:06:04,0:00:47,12:52:08,1,,,,4,8,0,strawberry,elastics,12:51:21
1,18,00:17:35:14,00:17:54:12,00:00:18:28,Paula,00:00:05:22,00:00:06:04,0:00:47,12:52:08,,,,1,3,8,0,strawberry,elastics,12:51:21
1,19,00:18:20:04,00:18:21:26,00:00:01:22,Paula,00:00:05:22,00:00:06:04,0:00:47,12:52:08,,,1,,2,8,0,strawberry,elastics,12:51:21
1,20,00:18:48:23,00:18:50:04,00:00:01:11,Paula,00:00:05:22,00:00:06:04,0:00:47,12:52:08,1,,,,3,8,0,strawberry,elastics,12:51:21
1,21,00:19:17:22,00:19:23:02,00:00:05:10,Paula,00:00:05:22,00:00:06:04,0:00:47,12:52:08,1,,,,3,8,0,strawberry,elastics,12:51:21
1,22,00:19:51:09,00:20:00:28,00:00:09:19,Paula,00:00:05:22,00:00:06:04,0:00:47,12:52:08,1,,,,3,8,0,strawberry,elastics,12:51:21
1,23,00:20:24:24,00:20:32:29,00:00:08:05,Paula,00:00:05:22,00:00:06:04,0:00:47,12:52:08,1,,,,3,8,0,strawberry,elastics,12:51:21
1,24,00:20:56:04,00:21:41:20,00:00:45:16,Paula,00:00:05:22,00:00:06:04,0:00:47,12:52:08,1,,,,4,8,0,strawberry,elastics,12:51:21
