game,round,start round,hit,duration round,participant,accelarator press,accelarator first signal,start heartrate in video,start heartrate in actual time,"hit, correct","hit, incorrect","other hit, correct","other hit, incorrect",confidence score,experience score,games played prior on current day,favorite fruit,accelarator device,start video 
3,1,00:06:37:20,00:06:51:26,00:00:14:06,Luna,00:00:06:27,00:00:07:02,0:01:28,11:46:57,1,,,,3,5,0,prume,band,11:45:29
3,2,00:07:33:00,00:07:47:20,00:00:14:20,Luna,00:00:06:27,00:00:07:02,0:01:28,11:46:57,,,1,,3,5,0,prume,band,11:45:29
3,3,00:08:23:12,00:08:26:17,00:00:03:05,Luna,00:00:06:27,00:00:07:02,0:01:28,11:46:57,,1,,,2,5,0,prume,band,11:45:29
3,4,00:09:01:00,00:09:07:21,00:00:06:21,Luna,00:00:06:27,00:00:07:02,0:01:28,11:46:57,,,1,,2,5,0,prume,band,11:45:29
3,5,00:09:33:02,00:09:35:00,00:00:01:28,Luna,00:00:06:27,00:00:07:02,0:01:28,11:46:57,1,,,,3,5,0,prume,band,11:45:29
3,6,00:09:52:29,00:10:04:26,00:00:11:27,Luna,00:00:06:27,00:00:07:02,0:01:28,11:46:57,,,1,,3,5,0,prume,band,11:45:29
3,7,00:10:22:29,00:10:26:25,00:00:03:26,Luna,00:00:06:27,00:00:07:02,0:01:28,11:46:57,,,1,,3,5,0,prume,band,11:45:29
3,8,00:10:52:20,00:10:56:03,00:00:03:13,Luna,00:00:06:27,00:00:07:02,0:01:28,11:46:57,1,,,,4,5,0,prume,band,11:45:29
3,9,00:11:06:07,00:11:22:07,00:00:16:00,Luna,00:00:06:27,00:00:07:02,0:01:28,11:46:57,,,1,,3,5,0,prume,band,11:45:29
3,10,00:11:33:18,00:11:38:06,00:00:04:18,Luna,00:00:06:27,00:00:07:02,0:01:28,11:46:57,,,1,,3,5,0,prume,band,11:45:29
3,11,00:13:01:16,00:13:14:22,00:00:13:06,Luna,00:00:06:27,00:00:07:02,0:01:28,11:46:57,,,1,,3,5,0,prume,band,11:45:29
3,12,00:13:25:06,00:13:28:21,00:00:03:15,Luna,00:00:06:27,00:00:07:02,0:01:28,11:46:57,1,,,,3,5,0,prume,band,11:45:29
3,13,00:13:40:21,00:13:50:13,00:00:09:22,Luna,00:00:06:27,00:00:07:02,0:01:28,11:46:57,,,1,,3,5,0,prume,band,11:45:29
3,14,00:14:05:01,00:14:12:22,00:00:07:21,Luna,00:00:06:27,00:00:07:02,0:01:28,11:46:57,,,1,,3,5,0,prume,band,11:45:29
3,15,00:14:26:24,00:14:31:13,00:00:04:19,Luna,00:00:06:27,00:00:07:02,0:01:28,11:46:57,,,1,,2,5,0,prume,band,11:45:29
3,16,00:14:52:04,00:15:02:20,00:00:10:16,Luna,00:00:06:27,00:00:07:02,0:01:28,11:46:57,,,1,,2,5,0,prume,band,11:45:29
3,17,00:15:11:09,00:15:33:22,00:00:22:13,Luna,00:00:06:27,00:00:07:02,0:01:28,11:46:57,,1,,,,5,0,prume,band,11:45:29
3,18,00:15:48:09,00:15:49:05,00:00:00:26,Luna,00:00:06:27,00:00:07:02,0:01:28,11:46:57,1,,,,3,5,0,prume,band,11:45:29
3,19,00:16:08:01,00:16:09:14,00:00:01:13,Luna,00:00:06:27,00:00:07:02,0:01:28,11:46:57,,,1,,3,5,0,prume,band,11:45:29
3,20,00:16:17:15,00:16:24:03,00:00:06:18,Luna,00:00:06:27,00:00:07:02,0:01:28,11:46:57,1,,,,3,5,0,prume,band,11:45:29
3,21,00:16:46:28,00:16:52:21,00:00:05:23,Luna,00:00:06:27,00:00:07:02,0:01:28,11:46:57,1,,,,3,5,0,prume,band,11:45:29
3,22,00:17:03:16,00:17:06:13,00:00:02:27,Luna,00:00:06:27,00:00:07:02,0:01:28,11:46:57,1,,,,4,5,0,prume,band,11:45:29
3,23,00:17:16:05,00:17:19:06,00:00:03:01,Luna,00:00:06:27,00:00:07:02,0:01:28,11:46:57,,,,1,4,5,0,prume,band,11:45:29
3,24,00:17:25:00,00:17:28:06,00:00:03:06,Luna,00:00:06:27,00:00:07:02,0:01:28,11:46:57,1,,,,4,5,0,prume,band,11:45:29
3,25,00:17:37:03,00:17:50:02,00:00:12:29,Luna,00:00:06:27,00:00:07:02,0:01:28,11:46:57,,,1,,3,5,0,prume,band,11:45:29
3,26,00:18:00:10,00:18:14:06,00:00:13:26,Luna,00:00:06:27,00:00:07:02,0:01:28,11:46:57,,,1,,3,5,0,prume,band,11:45:29
3,27,00:20:07:04,00:20:08:12,00:00:01:08,Luna,00:00:06:27,00:00:07:02,0:01:28,11:46:57,,,1,,3,5,0,prume,band,11:45:29
3,28,00:20:15:09,00:20:17:23,00:00:02:14,Luna,00:00:06:27,00:00:07:02,0:01:28,11:46:57,,,1,,3,5,0,prume,band,11:45:29
3,29,00:20:24:23,00:20:39:16,00:00:14:23,Luna,00:00:06:27,00:00:07:02,0:01:28,11:46:57,,1,,,3,5,0,prume,band,11:45:29
3,30,00:20:53:14,00:20:58:04,00:00:04:20,Luna,00:00:06:27,00:00:07:02,0:01:28,11:46:57,,,1,,2,5,0,prume,band,11:45:29
3,31,00:21:39:08,00:21:43:06,00:00:03:28,Luna,00:00:06:27,00:00:07:02,0:01:28,11:46:57,,,1,,2,5,0,prume,band,11:45:29
3,32,00:21:58:18,00:22:00:09,00:00:01:21,Luna,00:00:06:27,00:00:07:02,0:01:28,11:46:57,,,1,,2,5,0,prume,band,11:45:29
3,33,00:22:39:17,00:22:50:03,00:00:10:16,Luna,00:00:06:27,00:00:07:02,0:01:28,11:46:57,1,,,,3,5,0,prume,band,11:45:29
3,34,00:23:16:19,00:23:30:19,00:00:14:00,Luna,00:00:06:27,00:00:07:02,0:01:28,11:46:57,,,1,,3,5,0,prume,band,11:45:29
3,35,00:24:06:03,00:24:07:21,00:00:01:18,Luna,00:00:06:27,00:00:07:02,0:01:28,11:46:57,1,,,,3,5,0,prume,band,11:45:29
3,36,00:24:15:09,00:24:21:04,00:00:05:25,Luna,00:00:06:27,00:00:07:02,0:01:28,11:46:57,,,1,,3,5,0,prume,band,11:45:29
3,37,00:24:29:13,00:24:30:15,00:00:01:02,Luna,00:00:06:27,00:00:07:02,0:01:28,11:46:57,1,,,,3,5,0,prume,band,11:45:29
3,38,00:24:36:06,00:24:41:05,00:00:04:29,Luna,00:00:06:27,00:00:07:02,0:01:28,11:46:57,1,,,,4,5,0,prume,band,11:45:29
3,39,00:24:51:15,00:25:03:12,00:00:11:27,Luna,00:00:06:27,00:00:07:02,0:01:28,11:46:57,1,,,,4,5,0,prume,band,11:45:29
3,40,00:28:29:20,00:28:41:22,00:00:12:02,Luna,00:00:06:27,00:00:07:02,0:01:28,11:46:57,1,,,,3,5,0,prume,band,11:45:29
3,41,00:28:54:22,00:29:04:09,00:00:09:17,Luna,00:00:06:27,00:00:07:02,0:01:28,11:46:57,,,1,,2,5,0,prume,band,11:45:29
3,42,00:29:13:14,00:29:23:28,00:00:10:14,Luna,00:00:06:27,00:00:07:02,0:01:28,11:46:57,,,1,,2,5,0,prume,band,11:45:29
3,43,00:29:40:11,00:29:44:12,00:00:04:01,Luna,00:00:06:27,00:00:07:02,0:01:28,11:46:57,,1,,,2,5,0,prume,band,11:45:29
3,44,00:29:53:08,00:30:10:29,00:00:17:21,Luna,00:00:06:27,00:00:07:02,0:01:28,11:46:57,,,1,,2,5,0,prume,band,11:45:29
3,45,00:30:33:04,00:30:39:09,00:00:06:05,Luna,00:00:06:27,00:00:07:02,0:01:28,11:46:57,,,1,,2,5,0,prume,band,11:45:29
3,46,00:30:48:27,00:31:05:00,00:00:16:03,Luna,00:00:06:27,00:00:07:02,0:01:28,11:46:57,,,,1,2,5,0,prume,band,11:45:29
3,47,00:31:21:20,00:31:26:18,00:00:04:28,Luna,00:00:06:27,00:00:07:02,0:01:28,11:46:57,1,,,,3,5,0,prume,band,11:45:29
3,48,00:32:25:27,00:32:27:12,00:00:01:15,Luna,00:00:06:27,00:00:07:02,0:01:28,11:46:57,1,,,,3,5,0,prume,band,11:45:29
3,49,00:32:36:11,00:32:39:15,00:00:03:04,Luna,00:00:06:27,00:00:07:02,0:01:28,11:46:57,,,1,,3,5,0,prume,band,11:45:29
3,50,00:32:48:19,00:33:02:18,00:00:13:29,Luna,00:00:06:27,00:00:07:02,0:01:28,11:46:57,1,,,,,5,0,prume,band,11:45:29
3,51,00:33:22:15,00:33:32:04,00:00:09:19,Luna,00:00:06:27,00:00:07:02,0:01:28,11:46:57,,,1,,3,5,0,prume,band,11:45:29
