game,round,start round,hit,duration round,participant,accelarator press,accelarator first signal,start heartrate in video,start heartrate in actual time,"hit, correct","hit, incorrect","other hit, correct","other hit, incorrect",confidence score,experience score,games played prior on current day,favorite fruit,accelarator device,start video
5,1,00:02:16:02,00:02:19:06,00:00:03:04,Luna,00:00:41:07,00:00:41:12,0:01:44,14:04:20,,,1,,2,5,2,prume,band,14:02:36
5,2,00:02:35:26,00:02:36:28,00:00:01:02,Luna,00:00:41:07,00:00:41:12,0:01:44,14:04:20,,,1,,2,5,2,prume,band,14:02:36
5,3,00:02:40:26,00:02:45:09,00:00:04:13,Luna,00:00:41:07,00:00:41:12,0:01:44,14:04:20,1,,,,3,5,2,prume,band,14:02:36
5,4,00:02:55:29,00:03:05:15,00:00:09:16,Luna,00:00:41:07,00:00:41:12,0:01:44,14:04:20,1,,,,3,5,2,prume,band,14:02:36
5,5,00:03:23:04,00:03:27:13,00:00:04:09,Luna,00:00:41:07,00:00:41:12,0:01:44,14:04:20,,,1,,3,5,2,prume,band,14:02:36
5,6,00:03:47:13,00:03:53:00,00:00:05:17,Luna,00:00:41:07,00:00:41:12,0:01:44,14:04:20,1,,,,3,5,2,prume,band,14:02:36
5,7,00:04:03:13,00:04:16:15,00:00:13:02,Luna,00:00:41:07,00:00:41:12,0:01:44,14:04:20,,,1,,2,5,2,prume,band,14:02:36
5,8,00:04:23:03,00:04:31:23,00:00:08:20,Luna,00:00:41:07,00:00:41:12,0:01:44,14:04:20,1,,,,3,5,2,prume,band,14:02:36
5,9,00:04:41:20,00:04:46:19,00:00:04:29,Luna,00:00:41:07,00:00:41:12,0:01:44,14:04:20,,,1,,3,5,2,prume,band,14:02:36
5,10,00:05:04:28,00:05:13:05,00:00:08:07,Luna,00:00:41:07,00:00:41:12,0:01:44,14:04:20,1,,,,3,5,2,prume,band,14:02:36
5,11,00:05:21:19,00:05:31:28,00:00:10:09,Luna,00:00:41:07,00:00:41:12,0:01:44,14:04:20,,,1,,3,5,2,prume,band,14:02:36
5,12,00:05:38:00,00:05:39:11,00:00:01:11,Luna,00:00:41:07,00:00:41:12,0:01:44,14:04:20,,,1,,2,5,2,prume,band,14:02:36
5,13,00:05:42:15,00:05:44:08,00:00:01:23,Luna,00:00:41:07,00:00:41:12,0:01:44,14:04:20,1,,,,3,5,2,prume,band,14:02:36
5,14,00:05:48:23,00:06:04:00,00:00:15:07,Luna,00:00:41:07,00:00:41:12,0:01:44,14:04:20,1,,,,3,5,2,prume,band,14:02:36
5,15,00:06:19:06,00:06:43:17,00:00:24:11,Luna,00:00:41:07,00:00:41:12,0:01:44,14:04:20,,,,1,,5,2,prume,band,14:02:36
5,16,00:07:05:29,00:07:11:10,00:00:05:11,Luna,00:00:41:07,00:00:41:12,0:01:44,14:04:20,1,,,,4,5,2,prume,band,14:02:36
5,17,00:08:16:18,00:08:21:14,00:00:04:26,Luna,00:00:41:07,00:00:41:12,0:01:44,14:04:20,1,,,,4,5,2,prume,band,14:02:36
5,18,00:08:29:25,00:08:39:25,00:00:10:00,Luna,00:00:41:07,00:00:41:12,0:01:44,14:04:20,,,1,,3,5,2,prume,band,14:02:36
5,19,00:08:45:27,00:08:58:14,00:00:12:17,Luna,00:00:41:07,00:00:41:12,0:01:44,14:04:20,1,,,,3,5,2,prume,band,14:02:36
5,20,00:09:10:13,00:09:13:08,00:00:02:25,Luna,00:00:41:07,00:00:41:12,0:01:44,14:04:20,,,1,,3,5,2,prume,band,14:02:36
